Code,Description
19393,Southwest Airlines Co.: WN
19690,Hawaiian Airlines Inc.: HA
19790,Delta Air Lines Inc.: DL
19805,American Airlines Inc.: AA
19930,Alaska Airlines Inc.: AS
19977,United Air Lines Inc.: UA
20304,SkyWest Airlines Inc.: OO
20366,ExpressJet Airlines Inc.: EV
20409,JetBlue Airways: B6
20416,Spirit Air Lines: NK
20436,Frontier Airlines Inc.: F9
21171,Virgin America: VX
